PARM_EVALUATE_SLIDE	PARM_FILTER_MIN_DAPI_RNDtoRND_CORR	PARM_NORM_METHOD	PARM_SEG_OBJ_NAME	PARM_NORMALIZE_EVALUATE_PIPELINE	PARM_EVAL_SEG_OBJ_NAME	PARM_EVALUATE_POSITION	PARM_RUN	PARM_EVAL_DAPI_RNDS	PARM_FILTER_MIN_DAPI_INTENSITY	PARM_FILTER_MIN_OBJ_AREA	PARM_FILTER_MAX_OBJ_AREA	PARM_EVAL_SEG_OBJ	PARM_EVAL_MIN_DAPI_RNDtoRND_CORR	PARM_EVAL_MIN_DAPI_INTENSITY	PARM_EVAL_MIN_OBJ_AREA	PARM_EVAL_MAX_OBJ_AREA
S18030274	0	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid2560	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid1024	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid1024	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid2560	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid1024	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid1024	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid2560	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid1024	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid1024	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid2560	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid1024	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid1024	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid2560	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid1024	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid1024	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid2560	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid1024	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid1024	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid2560	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid1024	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid1024	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid64	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	NucleiSCA	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	57_69	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid2560	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	51_57	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid1024	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	51_57	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	51_57	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid512	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	51_57	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	51_57	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	75	TMM	Grid256	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	51_57	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
S18030274	0	TMM	Grid128	NORMALIZE_1_FOVS_EVALUATE_ALL_FOVS	NucleiSCA	51_57	TRUE	RG003:RG005	1	1	1.00E+38	TRUE	90	1	85	471
